Model,Train+Val R2,Test R2,Test RMSE,Test MAE
RF (FP) - Baseline,0.967374,0.77872,0.604243,0.436079
RF (FP) - Optimized,0.967374,0.77872,0.604243,0.436079
RF (Desc) - Baseline,0.962733,0.690758,0.714315,0.571492
SVR (FP) - Baseline,0.929523,0.685726,0.720104,0.536161
SVR (Desc) - Baseline,0.855783,0.737851,0.657681,0.469263
XGBoost (FP) - Baseline,0.838396,0.740886,0.653863,0.497089
XGBoost (Desc) - Baseline,0.908396,0.744158,0.649721,0.491389
XGBoost (Desc) - Optimized,0.979183,0.745253,0.648329,0.474655
GB (FP) - Baseline,0.697236,0.702817,0.700249,0.544436
GB (Desc) - Baseline,0.70545,0.681842,0.72454,0.57545
