tranche,zincid,SMILES,pIC50_pred,knn_similarity,reliability
H24P230,ZINCot00000lftZp,Cc1ccc(-c2cnn(C)c2CN2CCN(C)C(=O)[C@H]2C)cc1C,6.761894071675457,0.30430126,High
H23P220,ZINCns000000OqwT,Cc1cncc(CCc2nc(-n3nnc4ccccc43)no2)c1,6.7081376319825265,0.2661281,Low
H25P260,ZINCpw00000s2eQk,Cc1cc(NC(=O)[C@H]2C[C@H]2C(=O)Nc2ccsc2)cn2c(C)nnc12,6.680944891413877,0.31837398,High
H22P050,ZINCmb000003WlMF,Cc1nnc(N2CCN(C)C(=O)[C@@H]2C)n1CCN(C)C(C)C,6.669846168302163,0.25764015,Low
H25P380,ZINCpI00000EvlHN,Cc1nn(C)c(C(F)F)c1-c1cn([C@@H](C)c2ccc(F)cc2F)nn1,6.650572674366549,0.2511362,Low
H25P290,ZINCpz00000vKa04,C[C@@H]1C(=O)N(C)CCN1Cc1cccc(-c2cc(F)c(F)cc2O)c1,6.637284932721979,0.307003,High
H25P190,ZINCpp00000d72Do,Cc1cc(C(=O)N[C@]2(C)CCN(Cc3ncc(C4CC4)o3)C2)n(C)n1,6.636760783891523,0.22818299,Low
H24P070,ZINCod00000EMkMt,CC=C(C)C(=O)NC1(CNC(=O)c2nccn3c(C)nnc23)CC1,6.62688342572911,0.2498074,Low
H25P130,ZINCpj00000RjV8W,CN1C(=O)N(Cc2nnc3ncccn23)C(=O)[C@@H]1c1cccc(F)c1,6.6242708638074586,0.24032359,Low
H24M100,ZINCo4000015SiEg,CN(C[C@@H]1OCC[C@H]1O)C(=O)C(=O)N=c1nc(CS(C)(=O)=O)[nH]o1,6.619838913677983,0.18757924,Low
H24M000,ZINCo5000016799I,C=CC[C@H](NC(=O)Cc1csnn1)C(=O)N1CCN(C)C(=O)[C@H]1C,6.5942179391083755,0.23658104,Low
H24P170,ZINCon00000l7wri,Cn1nnc(Br)c1C(=O)N[C@@H]1C[C@H]1CNC(=O)c1cc(Cl)c(Cl)[nH]1,6.58785937024584,0.2392427,Low
H23P200,ZINCnq00000EUFr8,Cc1cc(F)ccc1[C@@H](C)n1cc(CN2CC=C[C@H](O)C2)nn1,6.569750484109412,0.22667818,Low
H24P080,ZINCoe00000HOhHN,CCCCNC(=O)[C@@H](c1c(C)cnn1C)N1CCN(C)C(=O)[C@@H]1C,6.566731637022166,0.24950013,Low
H22M000,ZINCm50000008wvo,Cc1nncn1NC(=O)CCN1C(=O)[C@@H]2CC=CC[C@H]2C1=O,6.564054867713658,0.2345951,Low
H25P130,ZINCpj000000jivO,Cc1cc(C)n(-c2ccc(Cn3cnc4c(nnn4C)c3=O)cc2)n1,6.5632693418223225,0.29624373,Low
H25P090,ZINCpf00000VVI2Z,Cc1cc(Cl)ncc1CC(=O)NC[C@@H]1C[C@H]1NC(=O)C#CC(C)(C)O,6.557811009006532,0.20625384,Low
H25P310,ZINCpB0000016p4g,Cn1cc(S(=O)(=O)N[C@H](c2ccc(Cl)cc2)C2CCC2)cc1C(=O)O,6.5563197717631025,0.28560695,Low
H25P150,ZINCpl0000069aBV,CC(C)(O)c1cn(CCCNC(=O)[C@](C)(O)c2ccc(Cl)cc2)nn1,6.55345681317823,0.26344696,Low
H21P210,ZINClr00000c70mu,Cn1cnnc1[C@H]1COCCN1Cc1ccc(Cl)cc1F,6.545243990935171,0.25304225,Low
H24P270,ZINCox00000dQ10L,Cn1ccnc1-n1nc(-c2ccc(Cl)cc2)nc1-c1nn[nH]c1Cl,6.545198194896269,0.25065953,Low
